,comment,currency,amount,text_length,text_wordcount,tokenized_comment
720,I donated because there will always be someone who will really need the help.,SGD,10000,77.0,14.0,"['i', 'donated', 'because', 'there', 'will', 'always', 'be', 'someone', 'who', 'will', 'really', 'need', 'the', 'help']"
722,I have seen how Ain Society render help to needy cancer patients and I believe in their cause.,SGD,1000,94.0,18.0,"['i', 'have', 'seen', 'how', 'ain', 'society', 'render', 'help', 'to', 'needy', 'cancer', 'patients', 'and', 'i', 'believe', 'in', 'their', 'cause']"
723,Hope Kelly can get the best treatment and recover soon.,MYR,50000,55.0,10.0,"['hope', 'kelly', 'can', 'get', 'the', 'best', 'treatment', 'and', 'recover', 'soon']"
724,I like to donate,USD,1000,16.0,4.0,"['i', 'like', 'to', 'donate']"
726,Hopefully a little help goes a long way,SGD,4500,39.0,8.0,"['hopefully', 'a', 'little', 'help', 'goes', 'a', 'long', 'way']"
727,Pity,MYR,10000,4.0,1.0,['pity']
728,HELPING THE KIDS IN SEEKING KNOWLEDGE. INSYALLAH,SGD,20000,48.0,7.0,"['helping', 'the', 'kids', 'in', 'seeking', 'knowledge', 'insyallah']"
729,He is a new and capable colleague. Hope that any amount can help to lighten parent burden for this family.,SGD,10000,106.0,20.0,"['he', 'is', 'a', 'new', 'and', 'capable', 'colleague', 'hope', 'that', 'any', 'amount', 'can', 'help', 'to', 'lighten', 'parent', 'burden', 'for', 'this', 'family']"
730,Get well soon babies.. Just a little token from myself,SGD,2000,54.0,10.0,"['get', 'well', 'soon', 'babies', 'just', 'a', 'little', 'token', 'from', 'myself']"
731,Well wishes,SGD,5000,11.0,2.0,"['well', 'wishes']"
732,Humanity!,SGD,7000,9.0,1.0,['humanity']
733,Well wishes,SGD,5000,11.0,2.0,"['well', 'wishes']"
735,to help,SGD,30000,7.0,2.0,"['to', 'help']"
736,Hope recover soon,SGD,2000,17.0,3.0,"['hope', 'recover', 'soon']"
737,BTS and ARMY will always be together to make the world a better place.,USD,200,70.0,14.0,"['bts', 'and', 'army', 'will', 'always', 'be', 'together', 'to', 'make', 'the', 'world', 'a', 'better', 'place']"
738,I am just doing my part to the society,SGD,20000,38.0,9.0,"['i', 'am', 'just', 'doing', 'my', 'part', 'to', 'the', 'society']"
739,"To give is better than to receive and I hope my small amount helps out, with everyone giving their little it meant more to the receiver 🙏",SGD,2000,137.0,27.0,"['to', 'give', 'is', 'better', 'than', 'to', 'receive', 'and', 'i', 'hope', 'my', 'small', 'amount', 'helps', 'out', 'with', 'everyone', 'giving', 'their', 'little', 'it', 'meant', 'more', 'to', 'the', 'receiver']"
740,Well wishes,MYR,30000,11.0,2.0,"['well', 'wishes']"
741,A small token from me hope can help them,SGD,5000,40.0,9.0,"['a', 'small', 'token', 'from', 'me', 'hope', 'can', 'help', 'them']"
742,Giving hope,SGD,5000,11.0,2.0,"['giving', 'hope']"
743,i donated because everyone deserves a chance,MYR,2000,44.0,7.0,"['i', 'donated', 'because', 'everyone', 'deserves', 'a', 'chance']"
744,Fellow humans,SGD,1000,13.0,2.0,"['fellow', 'humans']"
745,Don’t give up .. the Beighter days is just around the corner. Loves Ang light to you.,SGD,5000,85.0,17.0,"['don', 't', 'give', 'up', 'the', 'beighter', 'days', 'is', 'just', 'around', 'the', 'corner', 'loves', 'ang', 'light', 'to', 'you']"
746,I just want to help,SGD,10000,19.0,5.0,"['i', 'just', 'want', 'to', 'help']"
747,I care for him,MYR,10000,14.0,4.0,"['i', 'care', 'for', 'him']"
749,we once need help and someonehelp us..,SGD,9000,38.0,7.0,"['we', 'once', 'need', 'help', 'and', 'someonehelp', 'us']"
750,Every child deserves the right to education.,SGD,11500,44.0,7.0,"['every', 'child', 'deserves', 'the', 'right', 'to', 'education']"
752,I have been in state where I have no money to buy food and clothes for my child. I know the feeling of hard to get by day by day.,SGD,5000,129.0,30.0,"['i', 'have', 'been', 'in', 'state', 'where', 'i', 'have', 'no', 'money', 'to', 'buy', 'food', 'and', 'clothes', 'for', 'my', 'child', 'i', 'know', 'the', 'feeling', 'of', 'hard', 'to', 'get', 'by', 'day', 'by', 'day']"
753,Jesus heals you Amen 🙏,MYR,1000,22.0,5.0,"['jesus', 'heals', 'you', 'amen']"
754,To help,SGD,10000,7.0,2.0,"['to', 'help']"
755,The humble people of Timor-Leste have lived through countless hardships over many years but always come out stronger. Let's help them overcome yet another challenge.,SGD,10000,165.0,25.0,"['the', 'humble', 'people', 'of', 'timor', 'leste', 'have', 'lived', 'through', 'countless', 'hardships', 'over', 'many', 'years', 'but', 'always', 'come', 'out', 'stronger', 'let', 's', 'help', 'them', 'overcome', 'yet', 'another', 'challenge']"
756,I donated because i want to help other people.,MYR,5000,46.0,9.0,"['i', 'donated', 'because', 'i', 'want', 'to', 'help', 'other', 'people']"
757,I care!,SGD,25000,7.0,2.0,"['i', 'care']"
760,"I donated to Kelly Chan, her mom is my secondary classmate , hope Kelly Chan speedy Recovery",MYR,20000,92.0,17.0,"['i', 'donated', 'to', 'kelly', 'chan', 'her', 'mom', 'is', 'my', 'secondary', 'classmate', 'hope', 'kelly', 'chan', 'speedy', 'recovery']"
761,Its good to give when able.,MYR,50000,27.0,6.0,"['its', 'good', 'to', 'give', 'when', 'able']"
762,I read about Alex's most unfortunate circumstances. The medical bills will surely mount and his family has to be taken care of. I wish him a speedy recovery. God bless.,SGD,3000,168.0,30.0,"['i', 'read', 'about', 'alex', 's', 'most', 'unfortunate', 'circumstances', 'the', 'medical', 'bills', 'will', 'surely', 'mount', 'and', 'his', 'family', 'has', 'to', 'be', 'taken', 'care', 'of', 'i', 'wish', 'him', 'a', 'speedy', 'recovery', 'god', 'bless']"
763,I also gave 2 kids and working alone in singapore and kids in msia. I understand how difficulities for this family. Hope my small token can help a little for them.,SGD,500,163.0,31.0,"['i', 'also', 'gave', 'kids', 'and', 'working', 'alone', 'in', 'singapore', 'and', 'kids', 'in', 'msia', 'i', 'understand', 'how', 'difficulities', 'for', 'this', 'family', 'hope', 'my', 'small', 'token', 'can', 'help', 'a', 'little', 'for', 'them']"
764,Just want to help,SGD,5000,17.0,4.0,"['just', 'want', 'to', 'help']"
765,"Don't shine so others can see me, shine so that through me, others can see Him, Jesus Christ.  Amen",SGD,5000,99.0,20.0,"['don', 't', 'shine', 'so', 'others', 'can', 'see', 'me', 'shine', 'so', 'that', 'through', 'me', 'others', 'can', 'see', 'him', 'jesus', 'christ', 'amen']"
766,Every dollar counts...,SGD,1000,22.0,3.0,"['every', 'dollar', 'counts']"
767,Everyone deserved some help when they needed most.,SGD,5000,50.0,8.0,"['everyone', 'deserved', 'some', 'help', 'when', 'they', 'needed', 'most']"
768,To save life,SGD,2000,12.0,3.0,"['to', 'save', 'life']"
769,"I donated because we are so blessed to have enough supplies and we can afford to purchase sanitisers, masks, even clean water to keep ourselves safe. They don’t.",SGD,5000,161.0,28.0,"['i', 'donated', 'because', 'we', 'are', 'so', 'blessed', 'to', 'have', 'enough', 'supplies', 'and', 'we', 'can', 'afford', 'to', 'purchase', 'sanitisers', 'masks', 'even', 'clean', 'water', 'to', 'keep', 'ourselves', 'safe', 'they', 'don', 't']"
770,It’s for my mum who had requested that I arrange this donation. We are blessed and want to share God’s blessings. Hope the baby recovers.,SGD,5000,137.0,25.0,"['it', 's', 'for', 'my', 'mum', 'who', 'had', 'requested', 'that', 'i', 'arrange', 'this', 'donation', 'we', 'are', 'blessed', 'and', 'want', 'to', 'share', 'god', 's', 'blessings', 'hope', 'the', 'baby', 'recovers']"
771,Because it's a hard time for all of us and we need to help each other to overcome this. I would thank Bangtan Sri Lanka for organizing this donation campaign and giving us this opportunity. Let's overcome this pandemic together.,USD,200,228.0,40.0,"['because', 'it', 's', 'a', 'hard', 'time', 'for', 'all', 'of', 'us', 'and', 'we', 'need', 'to', 'help', 'each', 'other', 'to', 'overcome', 'this', 'i', 'would', 'thank', 'bangtan', 'sri', 'lanka', 'for', 'organizing', 'this', 'donation', 'campaign', 'and', 'giving', 'us', 'this', 'opportunity', 'let', 's', 'overcome', 'this', 'pandemic', 'together']"
772,PLEASE HELP INDIA!!,SGD,1000,19.0,3.0,"['please', 'help', 'india']"
773,Wish him well,SGD,5000,13.0,3.0,"['wish', 'him', 'well']"
774,"I spent some time in batu batu resort 2 years ago and I have been lucky enough to see the young turtles going back to water !
That was amazing and I wish the next generations will be able to see that too.",MYR,25000,204.0,42.0,"['i', 'spent', 'some', 'time', 'in', 'batu', 'batu', 'resort', 'years', 'ago', 'and', 'i', 'have', 'been', 'lucky', 'enough', 'to', 'see', 'the', 'young', 'turtles', 'going', 'back', 'to', 'water', 'that', 'was', 'amazing', 'and', 'i', 'wish', 'the', 'next', 'generations', 'will', 'be', 'able', 'to', 'see', 'that', 'too']"
775,God will bless Arlun and his daughter all the way.,SGD,10000,50.0,10.0,"['god', 'will', 'bless', 'arlun', 'and', 'his', 'daughter', 'all', 'the', 'way']"
776,"Get well soon Alex! Your family is waiting for you.

Hang in there everyone!",SGD,5000,76.0,13.0,"['get', 'well', 'soon', 'alex', 'your', 'family', 'is', 'waiting', 'for', 'you', 'hang', 'in', 'there', 'everyone']"
777,Best Wishes,SGD,20000,11.0,2.0,"['best', 'wishes']"
778,Help each other.,SGD,2000,16.0,3.0,"['help', 'each', 'other']"
779,My prayers r with the fmly. Stay strong for Kelly. God bless you all.,MYR,20000,69.0,14.0,"['my', 'prayers', 'r', 'with', 'the', 'fmly', 'stay', 'strong', 'for', 'kelly', 'god', 'bless', 'you', 'all']"
780,I wish Mr Ng can go home and meet his family.,SGD,5000,45.0,11.0,"['i', 'wish', 'mr', 'ng', 'can', 'go', 'home', 'and', 'meet', 'his', 'family']"
781,Just my small donation.Hope he will recover soon. Stay strong.,SGD,350,62.0,10.0,"['just', 'my', 'small', 'donation', 'hope', 'he', 'will', 'recover', 'soon', 'stay', 'strong']"
782,Any child shall not be deprived of medical attention because of money!,SGD,5000,70.0,12.0,"['any', 'child', 'shall', 'not', 'be', 'deprived', 'of', 'medical', 'attention', 'because', 'of', 'money']"
783,support local art.,SGD,9000,18.0,3.0,"['support', 'local', 'art']"
784,"We are one world one family, stay strong India!",INR,500000,47.0,9.0,"['we', 'are', 'one', 'world', 'one', 'family', 'stay', 'strong', 'india']"
785,The family in need of financially.,SGD,5000,34.0,6.0,"['the', 'family', 'in', 'need', 'of', 'financially']"
786,"My donation will be used to fund services like homecare as well as other SATA CommHealth's programmes for the needy and seniors. 

""It's not how much we give but how much love we put into giving.” “ - Mother Teresa",SGD,2000,214.0,40.0,"['my', 'donation', 'will', 'be', 'used', 'to', 'fund', 'services', 'like', 'homecare', 'as', 'well', 'as', 'other', 'sata', 'commhealth', 's', 'programmes', 'for', 'the', 'needy', 'and', 'seniors', 'it', 's', 'not', 'how', 'much', 'we', 'give', 'but', 'how', 'much', 'love', 'we', 'put', 'into', 'giving', 'mother', 'teresa']"
787,I donated to share my blessings from above.,SGD,5000,43.0,8.0,"['i', 'donated', 'to', 'share', 'my', 'blessings', 'from', 'above']"
